County,Autocycle,Passenger,Bus,Motorcycle,Manufactured Home,Military Historical Vehicle,Military Surplus Vehicle,Motorhome,ATV,Off Highway Motorcycle,Snowmobile,Special Mobile Machinery,Special Truck,Special Trailer
Adams,20,"315,197",812,"14,425",0,0,0,"1,717",0,0,0,"12,757",445,"3,833"
Alamosa,0,"9,843",68,537,0,0,0,114,0,0,0,327,5,41
Arapahoe,18,"402,960",854,"13,066",0,0,0,"1,604",0,0,0,"2,672",121,783
Archuleta,0,"9,893",47,890,0,0,0,225,0,0,0,314,4,28
Baca,0,"2,069",42,155,0,0,0,29,0,0,0,72,2,1
Bent,0,"2,502",33,136,0,0,0,33,0,0,0,36,0,4
Boulder,8,"204,437",572,"8,671",0,0,0,"1,707",0,0,0,"4,329",14,"1,736"
Broomfield,0,"51,476",35,"1,834",0,0,0,305,0,1,0,119,14,61
Chaffee,0,"15,722",126,"1,535",0,0,0,411,0,0,0,474,12,68
Cheyenne,1,"1,173",21,80,0,0,0,9,0,0,0,57,7,3
Clear Creek,0,"8,331",75,659,0,0,0,179,0,0,0,71,3,16
Conejos,0,"5,512",41,331,0,0,0,54,0,0,0,29,1,5
Costilla,1,"3,075",12,231,0,0,0,71,0,0,0,1,1,1
Crowley,0,"2,000",14,142,0,0,0,36,0,0,0,54,3,3
Custer,0,"4,131",11,370,0,0,0,129,0,0,0,92,3,14
Dealer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta,2,"21,692",104,"1,625",0,0,0,470,0,0,0,339,8,92
Denver,8,"437,207",697,"10,854",0,0,0,"1,244",0,1,0,"1,737",67,597
Dolores,0,"1,352",16,103,0,0,0,26,0,0,0,3,1,2
Douglas,13,"285,171",387,"11,073",0,0,0,"1,444",0,0,0,"2,439",70,"1,091"
Eagle,2,"45,436",332,"2,250",0,0,0,532,0,0,0,599,10,154
El Paso,21,"474,522","1,408","23,259",0,0,0,"4,082",0,0,0,"6,587",103,"1,624"
Elbert,2,"21,896",98,"1,829",0,0,0,471,0,0,0,872,49,137
Fremont,5,"28,232",134,"2,771",0,0,0,583,0,0,0,758,29,93
Garfield,2,"42,109",261,"2,380",0,0,0,606,0,1,0,"1,053",26,581
Gilpin,0,"5,538",23,517,0,0,0,129,0,0,0,85,1,15
Grand,0,"12,885",116,"1,004",0,0,0,278,0,0,0,491,24,94
Gunnison,1,"11,918",80,"1,027",0,0,0,223,0,0,0,249,5,60
Hinsdale,0,907,3,70,0,0,0,20,0,0,0,15,0,0
Huerfano,0,"4,921",27,371,0,0,0,104,0,0,0,66,8,8
Jackson,0,"1,177",7,95,0,0,0,32,0,0,0,81,8,12
Jefferson,11,"380,833",801,"19,935",0,0,0,"3,174",0,0,0,"2,087",103,746
Kiowa,0,901,12,57,0,0,0,13,0,0,0,18,0,1
Kit Carson,0,"4,607",57,295,0,0,0,66,0,0,0,145,9,8
La Plata,1,"36,668",170,"2,939",0,0,0,735,0,0,0,"1,200",28,144
Lake,0,"5,738",32,383,0,0,0,77,0,0,0,78,5,8
Larimer,8,"228,903",572,"13,505",0,0,0,"2,172",0,0,0,"3,079",80,655
Las Animas,2,"9,166",35,646,0,0,0,116,0,0,0,132,8,53
Lincoln,1,"3,242",31,209,0,0,2,43,0,0,0,31,2,5
Logan,0,"12,364",78,876,0,0,0,167,0,0,0,210,18,42
Mesa,5,"98,518",358,"6,837",0,0,0,"1,661",0,0,0,"2,183",47,"1,084"
Mineral,0,"1,046",4,71,0,0,0,15,0,0,0,13,1,3
Moffat,3,"7,639",51,514,0,0,0,120,0,0,0,230,19,70
Montezuma,0,"15,857",108,"1,067",0,0,0,310,0,0,0,256,13,44
Montrose,0,"28,828",144,"2,126",0,0,0,541,0,0,0,525,43,148
Morgan,1,"19,750",95,"1,109",0,0,0,189,0,0,0,448,45,160
Otero,0,"11,441",74,677,0,0,0,136,0,0,0,195,5,33
Ouray,1,"4,498",25,546,0,0,0,119,0,0,0,87,3,14
Park,1,"14,772",27,"1,491",0,0,0,360,0,0,0,161,6,22
Phillips,1,"3,011",30,244,0,0,0,30,0,0,0,20,3,4
Pitkin,0,"18,128",275,"1,133",0,0,0,159,0,0,0,162,3,39
Prowers,0,"6,824",57,450,0,0,1,60,0,0,0,154,5,11
Pueblo,0,"101,774",329,"5,678",0,0,0,"1,117",0,0,0,"1,375",24,553
Rio Blanco,0,"3,574",29,225,0,0,0,62,0,0,0,144,4,47
Rio Grande,0,"7,845",53,513,0,0,0,122,0,1,0,85,7,30
Routt,0,"18,840",197,"1,324",0,0,0,351,0,0,0,378,12,58
Saguache,0,"4,631",33,305,0,0,0,111,0,0,0,24,1,10
San Juan,2,621,5,97,0,0,0,18,0,0,0,11,0,0
San Miguel,0,"6,514",42,588,0,0,2,129,0,0,0,184,1,41
Sedgwick,0,"1,615",11,112,0,0,0,28,0,0,0,14,1,3
State,0,"3,137","1,589",34,0,0,0,1,0,0,0,507,215,253
Summit,1,"26,097",221,"1,544",0,0,0,437,0,0,0,426,21,109
Teller,1,"18,853",66,"1,745",0,0,0,481,0,0,0,187,6,45
Washington,1,"3,348",46,233,0,0,0,23,0,0,0,80,6,7
Weld,8,"209,614",526,"12,933",0,0,1,"1,811",0,0,0,"6,851",296,"2,410"
Yuma,1,"6,203",49,462,0,0,0,62,0,0,0,86,24,22
Totals,153,"3,758,684","12,688","183,193",0,0,6,"31,883",0,4,0,"58,544","2,108","18,039"
