County,Special Office Trailer,Light Truck,Special Use Truck,Truck,Tractor,Coach Trailer,Multi-Purpose Trailer,Camper Trailer,Utility Trailer,Trailer,Temporary Registrations,Temporary Registrations from Dealer,Dealer Standard Registrations,Totals by County
Adams,"2,124","113,282","1,429","4,129","3,207","3,905",197,"5,926","23,586","16,571","53,585",0,"3,019","580,166"
Alamosa,0,"6,217",38,313,247,246,30,482,"2,083","1,646","1,087",0,91,"23,415"
Arapahoe,1,"83,357",225,"1,505","1,733","2,123",128,"5,054","15,325","8,219","40,987",0,"5,695","586,430"
Archuleta,0,"6,979",35,150,56,336,66,668,"3,092","1,568",766,0,1,"25,118"
Baca,0,"2,636",26,74,253,92,8,64,614,"1,086",342,0,19,"7,584"
Bent,0,"2,241",0,61,89,73,0,81,582,654,273,0,12,"6,810"
Boulder,0,"41,868",136,577,162,905,55,"4,262","11,119","4,244","19,126",0,"1,606","305,534"
Broomfield,0,"9,903",66,99,17,356,12,965,"2,008",638,"4,701",0,515,"73,125"
Chaffee,3,"9,156",42,249,82,538,7,"1,172","4,422","1,991",889,0,68,"36,967"
Cheyenne,0,"1,501",12,73,196,48,7,45,355,702,44,0,0,"4,334"
Clear Creek,0,"3,770",5,51,17,95,4,338,"1,207",394,550,0,4,"15,769"
Conejos,0,"4,579",16,115,203,205,3,266,"1,457","1,660",755,0,25,"15,257"
Costilla,0,"2,591",0,69,75,51,11,124,741,551,792,0,12,"8,410"
Crowley,0,"1,508",5,47,42,60,5,78,421,449,162,0,4,"5,033"
Custer,0,"3,266",37,55,59,167,19,234,"1,534","1,089",319,0,2,"11,531"
Dealer,0,0,0,0,0,0,0,0,0,0,0,"756,332",0,"756,332"
Delta,0,"15,554",34,384,259,874,63,"1,380","6,781","4,048",989,0,134,"54,832"
Denver,3,"79,709",214,"3,118","1,380",578,111,"3,650","9,653","5,971","50,009",0,"3,086","609,894"
Dolores,0,"1,561",1,43,56,75,15,114,580,379,200,0,6,"4,533"
Douglas,1,"59,763",55,"1,232",890,"2,836",184,"4,485","13,528","7,375","25,521",0,"2,277","419,835"
Eagle,1,"18,843",127,487,155,307,37,"1,271","4,777","2,678","3,947",0,39,"81,984"
El Paso,16,"133,343",561,"2,312",918,"6,071",283,"10,328","31,887","14,814","38,394",0,"4,017","754,550"
Elbert,2,"15,414",35,453,319,"1,137",135,830,"5,184","5,262","2,915",0,98,"57,138"
Fremont,2,"16,446",97,406,250,882,57,"1,426","6,609","3,310","1,441",0,149,"63,680"
Garfield,1,"24,761",145,905,345,712,162,"1,629","7,362","4,927","3,991",0,332,"92,291"
Gilpin,0,"2,952",7,87,10,83,3,201,988,399,340,0,0,"11,378"
Grand,0,"8,278",45,256,88,299,41,612,"3,406","1,888",830,0,17,"30,652"
Gunnison,0,"7,838",42,205,27,209,13,688,"3,370","1,533",487,0,55,"28,030"
Hinsdale,0,497,1,29,5,14,6,38,364,130,63,0,6,"2,168"
Huerfano,0,"3,455",3,73,41,104,10,205,"1,107",893,251,0,0,"11,647"
Jackson,0,"1,447",2,45,79,63,3,103,475,583,150,0,11,"4,373"
Jefferson,6,"98,954",61,"1,328",457,"3,959",220,"10,140","26,396","9,682","30,431",0,"2,485","591,809"
Kiowa,0,"1,199",0,55,196,50,14,32,329,646,48,0,0,"3,571"
Kit Carson,0,"4,920",15,230,670,148,5,118,"1,083","2,087",405,0,78,"14,946"
La Plata,2,"21,344",113,521,199,736,203,"2,009","8,015","3,945","2,401",0,258,"81,631"
Lake,0,"3,764",24,70,24,73,6,263,"1,075",433,792,0,0,"12,845"
Larimer,5,"74,126",251,"1,261",700,"3,149",273,"7,122","24,063","11,859","25,940",0,"1,951","399,674"
Las Animas,0,"6,839",34,148,126,158,9,300,"1,914","1,520","1,193",0,47,"22,446"
Lincoln,0,"3,003",11,127,213,94,5,115,727,"1,180",237,0,34,"9,312"
Logan,0,"8,490",34,339,697,478,14,309,"2,590","2,769","1,030",0,156,"30,661"
Mesa,25,"53,863",225,"1,345",718,"3,049",335,"5,191","19,297","10,275","7,119",0,"1,105","213,240"
Mineral,0,653,1,25,4,24,30,51,388,173,91,0,0,"2,593"
Moffat,0,"7,035",22,172,161,436,77,534,"2,600","2,029",646,0,75,"22,433"
Montezuma,1,"12,286",15,326,293,668,63,933,"4,827","2,944","1,579",0,154,"41,744"
Montrose,1,"19,738",106,520,384,"1,029",155,"1,755","7,032","5,127","1,424",0,225,"69,851"
Morgan,1,"12,683",42,515,950,638,35,464,"3,343","3,567","1,740",0,182,"45,957"
Otero,0,"7,634",11,234,214,260,14,315,"2,155","1,664","1,146",0,81,"26,289"
Ouray,0,"2,521",3,63,11,102,12,267,"1,120",561,214,0,0,"10,167"
Park,0,"9,509",50,240,68,431,48,918,"3,888","1,788","1,079",0,4,"34,863"
Phillips,0,"2,507",8,82,389,110,1,92,819,"1,086",243,0,0,"8,680"
Pitkin,1,"4,407",7,113,17,35,2,272,"1,319",664,800,0,0,"27,536"
Prowers,0,"5,581",9,151,390,208,14,149,"1,460","1,627",737,0,301,"18,189"
Pueblo,0,"45,484",182,865,468,"2,291",172,"2,993","12,948","6,428","7,215",0,947,"190,843"
Rio Blanco,0,"4,068",18,155,71,216,42,257,"1,514","1,366",444,0,15,"12,251"
Rio Grande,0,"6,254",34,581,227,323,17,485,"2,589","1,784",690,0,19,"21,659"
Routt,0,"10,845",54,344,129,307,59,"1,024","3,699","2,441","1,296",0,58,"41,416"
Saguache,0,"3,717",8,302,221,107,11,224,"1,182","1,223",388,0,2,"12,500"
San Juan,0,449,2,7,0,16,15,20,134,62,70,0,0,"1,529"
San Miguel,0,"3,023",5,78,37,49,4,282,"1,056",624,329,0,3,"12,991"
Sedgwick,0,"1,344",0,66,117,54,1,34,373,465,139,0,0,"4,377"
State,0,"3,432",0,825,22,10,7,14,959,"1,242",68,0,0,"12,315"
Summit,0,"10,488",36,307,50,165,24,906,"2,877","1,236","2,337",0,159,"47,441"
Teller,0,"9,839",89,206,73,686,15,"1,021","4,200","1,462","1,361",0,24,"40,360"
Washington,0,"3,457",22,109,448,111,7,110,890,"1,469",319,0,13,"10,699"
Weld,28,"105,475",638,"4,101","4,943","5,087",394,"5,604","25,211","23,325","29,080",0,"2,002","440,338"
Yuma,0,"6,264",37,231,812,219,16,163,"1,839","2,851",686,0,84,"20,111"
Totals,"2,224","1,257,910","5,608","33,644","25,759","48,920","3,994","91,205","338,528","207,256","377,623","756,332","31,762","7,246,067"
